,0
2015-01-01,9.762085594379043
2015-02-01,9.762085594379043
2015-03-01,10.090408355048261
2015-04-01,10.658377416473806
2015-05-01,11.208024895272722
2015-06-01,11.775993956698269
2015-07-01,12.325641435497184
2015-08-01,12.89361049692273
2015-09-01,13.461579558348276
2015-10-01,14.011227037147192
2015-11-01,14.579196098572737
2015-12-01,15.128843577371654
2016-01-01,15.6968126387972
2016-02-01,15.76503411647527
2016-03-01,15.828854208496692
2016-04-01,15.897075686174762
2016-05-01,15.963096471024508
2016-06-01,16.03131794870258
2016-07-01,16.097338733552323
2016-08-01,16.165560211230396
2016-09-01,16.233781688908465
2016-10-01,16.299802473758213
2016-11-01,16.36802395143628
2016-12-01,16.43404473628603
2017-01-01,16.5022662139641
2017-02-01,16.127959500004515
2017-03-01,15.789876016428117
2017-04-01,15.415569302468535
2017-05-01,15.05333699863668
2017-06-01,14.679030284677097
2017-07-01,14.316797980845243
2017-08-01,13.942491266885659
2017-09-01,13.568184552926077
2017-10-01,13.20595224909422
2017-11-01,12.831645535134639
2017-12-01,12.469413231302784
2018-01-01,12.0951065173432
2018-02-01,12.035766217163804
2018-03-01,11.982168526679189
2018-04-01,11.922828226499792
2018-05-01,11.86540212955199
2018-06-01,11.806061829372593
2018-07-01,11.748635732424791
2018-08-01,11.689295432245395
2018-09-01,11.629955132065998
2018-10-01,11.572529035118196
2018-11-01,11.5131887349388
2018-12-01,11.455762637990997
2019-01-01,11.3964223378116
2019-02-01,11.553511745442535
2019-03-01,11.695398952334992
2019-04-01,11.852488359965927
2019-05-01,12.004510367350703
2019-06-01,12.161599774981637
2019-07-01,12.313621782366411
2019-08-01,12.470711189997346
2019-09-01,12.62780059762828
2019-10-01,12.779822605013056
2019-11-01,12.93691201264399
2019-12-01,13.088934020028766
2020-01-01,13.2460234276597
2020-02-01,13.55998925041799
2020-03-01,13.853699213643488
2020-04-01,14.167665036401777
2020-05-01,14.47150292939367
2020-06-01,14.78546875215196
2020-07-01,15.089306645143854
2020-08-01,15.403272467902143
2020-09-01,15.717238290660433
2020-10-01,16.021076183652326
2020-11-01,16.335042006410617
2020-12-01,16.63887989940251
2021-01-01,16.9528457221608
2021-02-01,17.113735047988648
2021-03-01,17.25905443905896
2021-04-01,17.41994376488681
2021-05-01,17.575643112462146
2021-06-01,17.736532438289995
2021-07-01,17.89223178586533
2021-08-01,18.05312111169318
2021-09-01,18.21401043752103
2021-10-01,18.369709785096365
2021-11-01,18.530599110924214
2021-12-01,18.68629845849955
2022-01-01,18.8471877843274
2022-02-01,19.340840482909275
2022-03-01,19.786720339692906
2022-04-01,20.28037303827478
2022-05-01,20.75810145625724
2022-06-01,21.251754154839116
2022-07-01,21.729482572821578
2022-08-01,22.223135271403454
2022-09-01,22.71678796998533
2022-10-01,23.194516387967788
2022-11-01,23.688169086549664
2022-12-01,24.165897504532126
2023-01-01,24.659550203114
2023-02-01,25.388478805837906
2023-03-01,26.046865930878848
2023-04-01,26.775794533602753
2023-05-01,27.481209310432337
2023-06-01,28.210137913156238
2023-07-01,28.915552689985823
2023-08-01,29.644481292709727
2023-09-01,30.37340989543363
2023-10-01,31.078824672263213
2023-11-01,31.807753274987114
2023-12-01,32.5131680518167
2024-01-01,33.2420966545406
2024-02-01,33.2420966545406
2024-03-01,33.2420966545406
2024-04-01,33.2420966545406
2024-05-01,33.2420966545406
2024-06-01,33.2420966545406
2024-07-01,33.2420966545406
2024-08-01,33.2420966545406
2024-09-01,33.2420966545406
2024-10-01,33.2420966545406
2024-11-01,33.2420966545406
2024-12-01,33.2420966545406
2025-01-01,33.2420966545406
2025-02-01,33.2420966545406
2025-03-01,33.2420966545406
2025-04-01,33.2420966545406
2025-05-01,33.2420966545406
2025-06-01,33.2420966545406
2025-07-01,33.2420966545406
2025-08-01,33.2420966545406
2025-09-01,33.2420966545406
2025-10-01,33.2420966545406
2025-11-01,33.2420966545406
2025-12-01,33.2420966545406
2026-01-01,33.2420966545406
2026-02-01,33.2420966545406
2026-03-01,33.2420966545406
2026-04-01,33.2420966545406
2026-05-01,33.2420966545406
